name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
COVRIG,covrig,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/gastronomia/covrig/
Crazy Bubble,crazy-bubble,,gastronomy,Gastronomia,uncertain,unknown,True,https://crazybubble.pl,unverified_seed,https://crazybubble.pl
Cukrem i Solą,cukrem-i-sola,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2128/cukrem-sola/
Czas na Herbatę,czas-na-herbate,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/413/czas-herbate/
CzystaSprawa24.pl,czystasprawa24-pl,,home-garden,Dom i ogród,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/wszystko-dla-domu-i-ogrodu/czystasprawa24-pl/
Da Grasso,da-grasso,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/181/da-grasso/
Da Vinci,da-vinci,,education,Edukacja,uncertain,unknown,True,https://davinci.edu.pl,unverified_seed,https://davinci.edu.pl
DDD Dobre Dla Domu,ddd-dobre-dla-domu,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/728/ddd-dobre-dla-domu/
Delikatesy Centrum,delikatesy-centrum,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/138/delikatesy-centrum/
Depilacja.pl,depilacja-pl,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1999/depilacja-pl/
DepilConcept,depilconcept,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/811/depilconcept/
DG - Inwest Broker Finansowy,dg-inwest-broker-finansowy,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/963/dg-inwest-broker-finansowy/
DG Restauracje,dg-restauracje,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1813/dg-restauracje/
Diament Expert,diament-expert,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2441/diament-expert/
Dobra Pączkarnia,dobra-paczkarnia,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1658/dobra-paczkarnia/
Dobre Oko,dobre-oko,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2006/dobre-oko/
Dom Ubezpieczeniowy Spectrum,dom-ubezpieczeniowy-spectrum,DOM UBEZPIECZENIOWY SPECTRUM,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1293/dom-ubezpieczeniowy-spectrum/ | https://franczyzawpolsce.pl/baza-sieci/finanse-i-ubezpieczenia/dom-ubezpieczeniowy-spectrum/
Domino’s Pizza,dominos-pizza,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1590/dominos-pizza/
Doskoi,doskoi,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2339/doskoi/
